,Ending Station ID,Starting Station ID,Duration,Duration_min,Distance,Price
519,9,28,862.8571428571429,14.380952380952381,1.2925020145867463,1.75
522,9,32,1188.0,19.8,1.7520540318348305,1.75
523,9,33,274.44976076555025,4.574162679425838,0.46921043483323566,1.75
525,9,35,830.0,13.833333333333334,1.8840134847918517,1.75
526,9,36,429.09090909090907,7.151515151515151,0.8919103954570513,1.75
527,9,37,998.1818181818181,16.636363636363637,1.2540204840119118,1.75
528,9,39,1155.0,19.25,1.978129603050327,1.75
529,9,40,900.0,15.0,0.9269236308952944,1.75
533,9,44,954.5454545454545,15.909090909090908,0.37786379061459685,1.75
535,9,46,973.3333333333334,16.22222222222222,1.6890031588166838,1.75
539,9,50,1414.2857142857142,23.571428571428573,3.137989258926558,1.75
540,9,51,745.7142857142857,12.428571428571429,1.0736096226212386,1.75
541,9,52,672.0,11.2,1.6334629878582008,1.75
542,9,53,1096.875,18.28125,1.573744814868584,1.75
546,9,57,480.0,8.0,0.8863601131191129,1.75
548,9,60,517.5,8.625,0.6651636886932369,1.75
554,10,4,750.0,12.5,1.1510444547409562,1.75
557,10,7,1080.0,18.0,2.970277698964354,1.75
564,10,17,7032.0,117.2,2.453080092740048,7.0
565,10,19,780.0,13.0,2.4128045608726887,1.75
572,10,28,913.8461538461538,15.23076923076923,2.1618646085102147,1.75
575,10,33,450.0,7.5,0.8721277134013058,1.75
577,10,36,1020.0,17.0,1.7814485892599543,1.75
578,10,37,1094.1176470588234,18.235294117647058,1.9648226560971773,1.75
579,10,39,1560.0,26.0,2.6072831265794414,1.75
580,10,40,1968.0,32.8,1.7931768287118497,3.5
588,10,51,989.0322580645161,16.483870967741936,1.9405078108829912,1.75
589,10,53,2077.5,34.625,2.4638756682920038,3.5
593,10,57,920.0,15.333333333333334,1.628679002408954,1.75
595,10,60,900.0,15.0,1.059935840363567,1.75
654,12,2,1746.5217391304348,29.108695652173914,1.7963599532151346,1.75
657,12,7,940.8,15.68,0.9565398737515225,1.75
663,12,14,1006.6666666666666,16.77777777777778,1.7171412891026232,1.75
665,12,16,910.0,15.166666666666666,1.9637862772699177,1.75
666,12,17,800.2325581395348,13.337209302325581,1.2033196671899165,1.75
667,12,18,1328.5714285714287,22.142857142857142,1.5928800798294884,1.75
668,12,19,877.3333333333334,14.622222222222222,1.1148136520811287,1.75
669,12,20,735.0,12.25,1.0219886759580983,1.75
677,12,28,1424.1025641025642,23.735042735042736,1.2401303549679572,1.75
678,12,29,1932.0,32.2,2.7959239952674353,3.5
681,12,32,650.4545454545455,10.840909090909092,1.3827193000033484,1.75
682,12,33,2508.0,41.8,2.766811333567868,3.5
684,12,35,934.2857142857143,15.571428571428571,1.9732728789336158,1.75
685,12,36,3094.8387096774195,51.58064516129032,1.6583869576739287,3.5
686,12,37,3270.0,54.5,2.5991947725666606,3.5
687,12,39,1491.4285714285713,24.857142857142858,0.7223788983650294,1.75
688,12,40,907.012987012987,15.116883116883116,1.5114897796525313,1.75
691,12,44,1200.0,20.0,2.040396345553216,1.75
692,12,46,572.4324324324324,9.54054054054054,0.8339099086618653,1.75
696,12,50,1303.6363636363637,21.727272727272727,1.706137713446091,1.75
697,12,51,827.1428571428571,13.785714285714286,1.393879736845833,1.75
698,12,52,1157.7777777777778,19.296296296296298,1.6069267440527921,1.75
699,12,53,1113.5172413793102,18.55862068965517,1.3161733513642015,1.75
703,12,57,793.3333333333334,13.222222222222221,1.5019091063246395,1.75
811,15,2,2574.0,42.9,2.036344193348504,3.5
813,15,4,780.0,13.0,1.1472175781275795,1.75
819,15,17,5880.0,98.0,2.380075757510111,7.0
820,15,18,660.0,11.0,3.0560126683663964,1.75
821,15,20,7920.0,132.0,2.725055294223994,8.75
